Section,Key,Value
Metadata,Report Number,RPT-20260907-4EF71C
Metadata,Generated At,2026-09-07T15:13:47.676105+00:00
Metadata,Dataset Version,v1.0.0
Metadata,Rule Version,v1.0.0
Executive Summary,total_alerts,5735
Executive Summary,critical_alerts,1433
Executive Summary,high_alerts,3510
Executive Summary,total_incidents,912
Executive Summary,open_incidents,912
Executive Summary,mean_risk_score,39.7
Executive Summary,status,EVALUATED
Incident,INC-3D5D82,Privilege Escalation Campaign (CRITICAL) - Status: OPEN
Incident,INC-455C2E,High Severity Threat Activity Pattern (CRITICAL) - Status: OPEN
Incident,INC-2026-AB8E,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-B528,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-5F37,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-0884,Correlated Security Incident — inv_user_a53f094474f547d685169412519da9ee (CRITICAL) - Status: OPEN
Incident,INC-2026-0883,Correlated Security Incident — inv_user_64847817dba440a9b6b033f390afa724 (CRITICAL) - Status: IN_PROGRESS
Incident,INC-2026-0882,Correlated Security Incident — inv_user_70ce23864fb64a399140069d26091f8e (CRITICAL) - Status: IN_PROGRESS
Incident,INC-2026-0881,Correlated Security Incident — inv_user_ee6b7a50c1734059830a42f72e3e8587 (CRITICAL) - Status: OPEN
Incident,INC-2026-0880,Correlated Security Incident — inv_user_bdefac5bd74c4de7ae07581376ec179b (CRITICAL) - Status: OPEN
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-64156.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-26954.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-24700.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-14595.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-P10-C93D65.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-12650.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-55671.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-54948.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-30147.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-54317.
Recommendation,Action,Maintain automated correlation rules for credential stuffing and impossible travel
Recommendation,Action,Review unlinked high-severity alerts flagged by data quality validation
Recommendation,Action,Enforce mandatory approval policy for ISOLATE_ENDPOINT and DISABLE_USER actions
