Section,Key,Value
Metadata,Report Number,RPT-20260907-685711
Metadata,Generated At,2026-09-07T15:36:35.148960+00:00
Metadata,Dataset Version,v1.0.0
Metadata,Rule Version,v1.0.0
Executive Summary,total_alerts,6153
Executive Summary,critical_alerts,1543
Executive Summary,high_alerts,3764
Executive Summary,total_incidents,992
Executive Summary,open_incidents,992
Executive Summary,mean_risk_score,39.73
Executive Summary,status,EVALUATED
Incident,INC-7CC0BD,Privilege Escalation Campaign (CRITICAL) - Status: OPEN
Incident,INC-4F879F,High Severity Threat Activity Pattern (CRITICAL) - Status: OPEN
Incident,INC-2026-B597,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-AED4,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-612F,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-0960,Correlated Security Incident — inv_user_042aa3273fd14d8aa520ba5c8ebb1d76 (CRITICAL) - Status: OPEN
Incident,INC-2026-0959,Correlated Security Incident — inv_user_42759ed6f5a84efdb395319ef4e47fba (CRITICAL) - Status: IN_PROGRESS
Incident,INC-2026-0958,Correlated Security Incident — inv_user_783dced95eb641c5b32017bf710cdaf6 (CRITICAL) - Status: IN_PROGRESS
Incident,INC-2026-0957,Correlated Security Incident — inv_user_dd66feb8ff944e55a41e5df3a12de540 (CRITICAL) - Status: OPEN
Incident,INC-2026-0956,Correlated Security Incident — inv_user_edf805290d894c32ac7b5eba99c9e409 (CRITICAL) - Status: OPEN
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-64156.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-26954.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-24700.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-14595.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-P10-C93D65.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-12650.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-55671.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-54948.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-30147.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-54317.
Recommendation,Action,Maintain automated correlation rules for credential stuffing and impossible travel
Recommendation,Action,Review unlinked high-severity alerts flagged by data quality validation
Recommendation,Action,Enforce mandatory approval policy for ISOLATE_ENDPOINT and DISABLE_USER actions
