Section,Key,Value
Metadata,Report Number,RPT-20260907-F8D16B
Metadata,Generated At,2026-09-07T16:10:43.609441+00:00
Metadata,Dataset Version,v1.0.0
Metadata,Rule Version,v1.0.0
Executive Summary,total_alerts,6559
Executive Summary,critical_alerts,1649
Executive Summary,high_alerts,4010
Executive Summary,total_incidents,1067
Executive Summary,open_incidents,1067
Executive Summary,mean_risk_score,39.74
Executive Summary,status,EVALUATED
Incident,INC-FD0E5F,Privilege Escalation Campaign (CRITICAL) - Status: OPEN
Incident,INC-8E6FF0,High Severity Threat Activity Pattern (CRITICAL) - Status: OPEN
Incident,INC-2026-0D12,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-570A,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-B289,Suspicious Identity Spike (HIGH) - Status: OPEN
Incident,INC-2026-1031,Correlated Security Incident — inv_user_743b619720de4873bba52a4b31630dbc (CRITICAL) - Status: OPEN
Incident,INC-2026-1030,Correlated Security Incident — inv_user_94ac987f0dec4c9b8b82df2001657b21 (CRITICAL) - Status: IN_PROGRESS
Incident,INC-2026-1029,Correlated Security Incident — inv_user_f7a1d2d42a1e4a3e9f553cfaa3aadca1 (CRITICAL) - Status: OPEN
Incident,INC-2026-1028,Correlated Security Incident — inv_user_381fe91ca82c4f09bb8d725fb24904f4 (CRITICAL) - Status: OPEN
Incident,INC-2026-1027,Correlated Security Incident — inv_user_e5f68ce241ea4031bc055291eb4b4159 (CRITICAL) - Status: OPEN
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-64156.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-26954.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-24700.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-14595.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-P10-C93D65.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-12650.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-55671.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-54948.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-30147.
Execution Gap,MISSING_ESCALATION,HIGH - Potential execution gap: expected escalation evidence was not observed under configured threshold for CRITICAL alert ALT-54317.
Recommendation,Action,Maintain automated correlation rules for credential stuffing and impossible travel
Recommendation,Action,Review unlinked high-severity alerts flagged by data quality validation
Recommendation,Action,Enforce mandatory approval policy for ISOLATE_ENDPOINT and DISABLE_USER actions
